%Date of loss	Loss moments	Buildings	Contents	Loss of Profit	Quarter
2.922300E+04	2.739726E-03	1.667368E+06	8.892632E+05	0.000000E+00	1.000000E+00
2.922400E+04	5.479452E-03	2.667789E+06	5.113263E+05	0.000000E+00	1.000000E+00
2.922500E+04	1.004566E-02	2.630781E+06	0.000000E+00	0.000000E+00	1.000000E+00
2.922700E+04	1.095890E-02	0.000000E+00	1.982105E+06	7.203032E+05	1.000000E+00
2.922700E+04	1.735160E-02	1.889684E+06	5.113263E+06	0.000000E+00	1.000000E+00
2.923000E+04	1.826484E-02	6.760052E+06	6.488551E+06	0.000000E+00	1.000000E+00
2.923000E+04	3.287671E-02	3.788261E+06	5.380042E+06	2.825634E+06	1.000000E+00
2.923600E+04	3.378995E-02	1.177820E+06	1.507966E+06	6.669474E+05	1.000000E+00
2.923600E+04	4.109589E-02	1.233853E+06	1.022653E+06	0.000000E+00	1.000000E+00
2.923900E+04	4.566210E-02	3.601038E+06	2.556632E+05	3.890526E+05	1.000000E+00
2.924100E+04	4.657534E-02	0.000000E+00	1.111579E+07	0.000000E+00	1.000000E+00
2.924100E+04	5.388128E-02	5.113263E+06	0.000000E+00	0.000000E+00	1.000000E+00
2.924400E+04	5.662100E-02	2.223158E+06	0.000000E+00	0.000000E+00	1.000000E+00
2.924500E+04	5.844749E-02	2.615052E+06	0.000000E+00	0.000000E+00	1.000000E+00
2.924600E+04	5.936073E-02	1.050442E+07	6.767293E+06	0.000000E+00	1.000000E+00
2.924600E+04	6.392694E-02	2.432968E+06	1.336865E+06	0.000000E+00	1.000000E+00
2.924800E+04	8.036530E-02	2.778947E+07	1.201528E+07	0.000000E+00	1.000000E+00
2.925400E+04	8.584475E-02	2.346899E+06	6.936253E+05	0.000000E+00	1.000000E+00
2.925600E+04	9.132420E-02	6.669474E+06	2.089768E+05	0.000000E+00	1.000000E+00
2.925800E+04	9.954338E-02	1.702127E+06	1.094421E+06	0.000000E+00	1.000000E+00
2.926100E+04	1.077626E-01	5.780211E+06	0.000000E+00	0.000000E+00	1.000000E+00
2.926400E+04	1.159817E-01	1.556211E+07	5.881093E+06	0.000000E+00	1.000000E+00
2.926700E+04	1.242009E-01	4.679225E+06	3.557053E+06	0.000000E+00	1.000000E+00
2.927000E+04	1.269406E-01	4.446316E+06	1.333895E+07	0.000000E+00	1.000000E+00
2.927100E+04	1.296804E-01	1.456168E+06	8.448000E+05	0.000000E+00	1.000000E+00
2.927200E+04	1.324201E-01	3.854636E+06	0.000000E+00	0.000000E+00	1.000000E+00
2.927300E+04	1.351598E-01	2.667789E+06	4.446316E+05	0.000000E+00	1.000000E+00
2.927400E+04	1.406393E-01	5.780211E+06	1.314776E+07	0.000000E+00	1.000000E+00
2.927600E+04	1.461187E-01	2.635129E+06	0.000000E+00	0.000000E+00	1.000000E+00
2.927800E+04	1.707763E-01	7.781053E+05	1.778526E+06	0.000000E+00	1.000000E+00
